"filename", "language", "Ignore", "JSON", "JSON with Comments", "YAML", "TypeScript", "Markdown", "Docker", "comment", "blank", "total"
"d:\coding\syndicate-bot-2\src\utils\database\channel-db-utils.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 12, 92
"d:\coding\syndicate-bot-2\src\utils\database\direct-db-utils.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\coding\syndicate-bot-2\src\utils\database\embed-db-utils.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\coding\syndicate-bot-2\src\utils\database\guild-db-utils.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 11, 92
"d:\coding\syndicate-bot-2\src\utils\database\guild-settings-db-utils.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 11, 83
"d:\coding\syndicate-bot-2\src\utils\database\index.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"d:\coding\syndicate-bot-2\src\utils\database\input-db-utils.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\coding\syndicate-bot-2\src\utils\database\interaction-db-utils.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"d:\coding\syndicate-bot-2\src\utils\database\link-db-utils.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\coding\syndicate-bot-2\src\utils\database\mention-db-utils.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 7, 48
"d:\coding\syndicate-bot-2\src\utils\database\news-db-utils.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 2, 8, 90
"d:\coding\syndicate-bot-2\src\utils\database\news-image-db-utils.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\coding\syndicate-bot-2\src\utils\database\poll-choice-db-utils.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\coding\syndicate-bot-2\src\utils\database\poll-db-utils.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\coding\syndicate-bot-2\src\utils\database\promo-db-utils.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\coding\syndicate-bot-2\src\utils\database\quiz-choice-db-utils.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\coding\syndicate-bot-2\src\utils\database\quiz-db-utils.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"d:\coding\syndicate-bot-2\src\utils\database\redirect-db-utils.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"d:\coding\syndicate-bot-2\src\utils\database\referral-db-utils.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"d:\coding\syndicate-bot-2\src\utils\database\tags-db.utils.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 10, 92
"d:\coding\syndicate-bot-2\src\utils\database\user-db-utils.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 8, 58
"d:\coding\syndicate-bot-2\src\utils\embed-utils.ts", "TypeScript", 0, 0, 0, 0, 174, 0, 0, 2, 29, 205
"d:\coding\syndicate-bot-2\src\utils\format-utils.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 2, 9, 58
"d:\coding\syndicate-bot-2\src\utils\guild-utils.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 4, 57
"d:\coding\syndicate-bot-2\src\utils\index.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"d:\coding\syndicate-bot-2\src\utils\interaction-utils.ts", "TypeScript", 0, 0, 0, 0, 312, 0, 0, 0, 16, 328
"d:\coding\syndicate-bot-2\src\utils\math-utils.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\coding\syndicate-bot-2\src\utils\message-utils.ts", "TypeScript", 0, 0, 0, 0, 176, 0, 0, 0, 11, 187
"d:\coding\syndicate-bot-2\src\utils\news-channels-utils.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 19, 99
"d:\coding\syndicate-bot-2\src\utils\news-utils.ts", "TypeScript", 0, 0, 0, 0, 178, 0, 0, 0, 16, 194
"d:\coding\syndicate-bot-2\src\utils\partial-utils.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 9, 89
"d:\coding\syndicate-bot-2\src\utils\permission-utils.ts", "TypeScript", 0, 0, 0, 0, 94, 0, 0, 23, 11, 128
"d:\coding\syndicate-bot-2\src\utils\random-utils.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\coding\syndicate-bot-2\src\utils\regex-utils.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"d:\coding\syndicate-bot-2\src\utils\schedule-utils.ts", "TypeScript", 0, 0, 0, 0, 346, 0, 0, 0, 35, 381
"d:\coding\syndicate-bot-2\src\utils\shard-utils.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 3, 8, 53
"d:\coding\syndicate-bot-2\src\utils\string-utils.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 3, 6, 38
"d:\coding\syndicate-bot-2\src\utils\thread-utils.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 4, 53
"d:\coding\syndicate-bot-2\src\webhooks\news.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 5, 72
"d:\coding\syndicate-bot-2\tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"Total", "-", 15, 928, 113, 1, 11794, 126, 8, 264, 1231, 14480
